Assembly	contigs
# contigs (>= 0 bp)	67
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25881
Total length (>= 1000 bp)	1091
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1091
Total length	10002
Reference length	29903
GC (%)	37.84
Reference GC (%)	37.97
N50	628
N75	586
L50	7
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	32.773
Duplication ratio	1.021
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.61
# indels per 100 kbp	10.20
# genomic features	0 + 13 part
Largest alignment	1091
Total aligned length	9977
NA50	628
NGA50	-
NA75	586
LA50	7
LA75	11
