Assembly	SRR11857957
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	59629
Total length (>= 1000 bp)	59629
Total length (>= 5000 bp)	59629
Total length (>= 10000 bp)	59629
Total length (>= 25000 bp)	59629
Total length (>= 50000 bp)	59629
# contigs	1
Largest contig	59629
Total length	59629
Reference length	29903
GC (%)	37.98
Reference GC (%)	37.97
N50	59629
NG50	59629
N75	59629
NG75	59629
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	2
# misassembled contigs	1
Misassembled contigs length	59629
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.706
Duplication ratio	2.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	70.43
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29815
Total aligned length	59629
NA50	29815
NGA50	29815
NA75	21621
NGA75	29815
LA50	1
LGA50	1
LA75	2
LGA75	1
