Assembly	contigs
# contigs (>= 0 bp)	199
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45882
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	704
Total length	4238
Reference length	29903
GC (%)	37.45
Reference GC (%)	37.97
N50	598
N75	563
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	14.172
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.60
# indels per 100 kbp	70.79
# genomic features	4 + 17 part
Largest alignment	704
Total aligned length	4237
NA50	598
NGA50	-
NA75	563
LA50	4
LA75	6
