Assembly	SRR12162380
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29920
Total length (>= 1000 bp)	29189
Total length (>= 5000 bp)	29189
Total length (>= 10000 bp)	22301
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22301
Total length	29920
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	22301
NG50	22301
N75	6888
NG75	6888
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.749
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	43.58
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	22301
Total aligned length	29877
NA50	22301
NGA50	22301
NA75	6888
NGA75	6888
LA50	1
LGA50	1
LA75	2
LGA75	2
