Assembly	contigs
# contigs (>= 0 bp)	381
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	51961
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	589
Total length	589
Reference length	29903
GC (%)	47.03
Reference GC (%)	37.97
N50	589
N75	589
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	1.970
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	509.34
# indels per 100 kbp	0.00
# genomic features	0 + 5 part
Largest alignment	589
Total aligned length	589
NA50	589
NGA50	-
NA75	589
LA50	1
LA75	1
