Assembly	contigs
# contigs (>= 0 bp)	460
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	65943
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	934
Total length	2804
Reference length	29903
GC (%)	41.55
Reference GC (%)	37.97
N50	628
N75	623
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	9.380
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	106.95
# indels per 100 kbp	35.65
# genomic features	0 + 17 part
Largest alignment	934
Total aligned length	2804
NA50	628
NGA50	-
NA75	623
LA50	2
LA75	3
