Assembly	ERR4238579
# contigs (>= 0 bp)	11
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	9411
Total length (>= 1000 bp)	6791
Total length (>= 5000 bp)	5160
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	5160
Total length	6791
Reference length	29903
GC (%)	36.45
Reference GC (%)	37.97
N50	5160
N75	5160
L50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	22.710
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	29.45
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	5160
Total aligned length	6791
NA50	5160
NGA50	-
NA75	5160
LA50	1
LA75	1
