Assembly	contigs
# contigs (>= 0 bp)	91
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30819
Total length (>= 1000 bp)	3393
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	1315
Total length	14511
Reference length	29903
GC (%)	37.59
Reference GC (%)	37.97
N50	837
N75	585
L50	8
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	48.490
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.79
# indels per 100 kbp	0.00
# genomic features	8 + 25 part
Largest alignment	1314
Total aligned length	14510
NA50	837
NGA50	-
NA75	585
LA50	8
LA75	13
