Assembly	ERR4244453_scaffolds
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29160
Total length (>= 1000 bp)	23690
Total length (>= 5000 bp)	8862
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	8862
Total length	28423
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	2119
NG50	1946
N75	1312
NG75	1212
L50	3
LG50	4
L75	7
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.877
Duplication ratio	1.013
# N's per 100 kbp	0.00
# mismatches per 100 kbp	21.37
# indels per 100 kbp	0.00
# genomic features	24 + 21 part
Largest alignment	8862
Total aligned length	28423
NA50	2119
NGA50	1946
NA75	1312
NGA75	1212
LA50	3
LGA50	4
LA75	7
LGA75	8
