Assembly	contigs
# contigs (>= 0 bp)	61
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25042
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	991
Total length	4296
Reference length	29903
GC (%)	38.13
Reference GC (%)	37.97
N50	694
N75	628
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	14.052
Duplication ratio	1.022
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
# genomic features	8 + 21 part
Largest alignment	970
Total aligned length	4275
NA50	694
NGA50	-
NA75	628
LA50	3
LA75	5
