Assembly	contigs
# contigs (>= 0 bp)	54
# contigs (>= 1000 bp)	13
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35490
Total length (>= 1000 bp)	24073
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	17
Largest contig	3951
Total length	26925
Reference length	29903
GC (%)	37.68
Reference GC (%)	37.97
N50	1608
NG50	1592
N75	1134
NG75	1096
L50	5
LG50	6
L75	10
LG75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	88.389
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.05
# indels per 100 kbp	0.00
# genomic features	20 + 25 part
Largest alignment	3951
Total aligned length	26925
NA50	1608
NGA50	1592
NA75	1134
NGA75	1096
LA50	5
LGA50	6
LA75	10
LGA75	12
