Assembly	ERR4305106.contigs
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29677
Total length (>= 1000 bp)	28960
Total length (>= 5000 bp)	26223
Total length (>= 10000 bp)	16376
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	16376
Total length	29677
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	16376
NG50	16376
N75	9847
NG75	9847
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.609
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.13
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	16253
Total aligned length	29487
NA50	16253
NGA50	16253
NA75	9794
NGA75	9794
LA50	1
LGA50	1
LA75	2
LGA75	2
