Assembly	contigs
# contigs (>= 0 bp)	118
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35130
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	990
Total length	6716
Reference length	29903
GC (%)	38.71
Reference GC (%)	37.97
N50	717
N75	572
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	22.198
Duplication ratio	1.012
# N's per 100 kbp	0.00
# mismatches per 100 kbp	45.19
# indels per 100 kbp	15.06
# genomic features	0 + 13 part
Largest alignment	990
Total aligned length	6637
NA50	674
NGA50	-
NA75	552
LA50	5
LA75	7
