Assembly	transcripts
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29956
Total length (>= 1000 bp)	29376
Total length (>= 5000 bp)	19209
Total length (>= 10000 bp)	13817
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	13817
Total length	29956
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	5392
NG50	5392
N75	4973
NG75	4973
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.104
Duplication ratio	1.011
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.62
# indels per 100 kbp	3.37
# genomic features	32 + 17 part
Largest alignment	13817
Total aligned length	29889
NA50	5392
NGA50	5392
NA75	4973
NGA75	4973
LA50	2
LGA50	2
LA75	3
LGA75	3
