Assembly	ERR4085145_scaffolds
# contigs (>= 0 bp)	29
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30011
Total length (>= 1000 bp)	27326
Total length (>= 5000 bp)	18870
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	8222
Total length	28135
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	5202
NG50	5202
N75	3644
NG75	3644
L50	3
LG50	3
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.021
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.90
# indels per 100 kbp	0.00
# genomic features	20 + 25 part
Largest alignment	8222
Total aligned length	28135
NA50	5202
NGA50	5202
NA75	3644
NGA75	3644
LA50	3
LGA50	3
LA75	4
LGA75	4
