Assembly	SRR11577837.contigs
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29799
Total length (>= 1000 bp)	29799
Total length (>= 5000 bp)	29799
Total length (>= 10000 bp)	22316
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	22316
Total length	29799
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	22316
NG50	22316
N75	7483
NG75	7483
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.411
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	16.82
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22299
Total aligned length	29727
NA50	22299
NGA50	22299
NA75	7428
NGA75	7428
LA50	1
LGA50	1
LA75	2
LGA75	2
