Assembly	contigs
# contigs (>= 0 bp)	61
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32004
Total length (>= 1000 bp)	12202
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	26
Largest contig	2670
Total length	25137
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	998
NG50	989
N75	793
NG75	657
L50	10
LG50	12
L75	17
LG75	22
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	82.831
Duplication ratio	1.015
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.34
# indels per 100 kbp	4.04
# genomic features	12 + 25 part
Largest alignment	2670
Total aligned length	25131
NA50	998
NGA50	989
NA75	793
NGA75	657
LA50	10
LGA50	12
LA75	17
LGA75	22
