Assembly	contigs
# contigs (>= 0 bp)	348
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	74583
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	764
Total length	3088
Reference length	29903
GC (%)	39.99
Reference GC (%)	37.97
N50	577
N75	532
L50	3
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	10.327
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	161.92
# indels per 100 kbp	0.00
# genomic features	0 + 21 part
Largest alignment	764
Total aligned length	3088
NA50	577
NGA50	-
NA75	532
LA50	3
LA75	4
