Assembly	transcripts
# contigs (>= 0 bp)	20
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31589
Total length (>= 1000 bp)	28142
Total length (>= 5000 bp)	7958
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	7958
Total length	28884
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	2182
NG50	2182
N75	1651
NG75	1343
L50	4
LG50	4
L75	7
LG75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1124
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.974
Duplication ratio	1.028
# N's per 100 kbp	0.00
# mismatches per 100 kbp	46.26
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	7958
Total aligned length	28856
NA50	2182
NGA50	2182
NA75	1651
NGA75	1342
LA50	4
LGA50	4
LA75	7
LGA75	8
