Assembly	contigs
# contigs (>= 0 bp)	103
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30980
Total length (>= 1000 bp)	1209
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	1209
Total length	7285
Reference length	29903
GC (%)	36.83
Reference GC (%)	37.97
N50	586
N75	528
L50	5
L75	8
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	1153
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	23.366
Duplication ratio	1.043
# N's per 100 kbp	0.00
# mismatches per 100 kbp	14.31
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1209
Total aligned length	7273
NA50	581
NGA50	-
NA75	528
LA50	5
LA75	8
