Assembly	SRR11813146.contigs
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31456
Total length (>= 1000 bp)	29555
Total length (>= 5000 bp)	29555
Total length (>= 10000 bp)	29555
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	17464
Total length	30415
Reference length	29903
GC (%)	38.12
Reference GC (%)	37.97
N50	17464
NG50	17464
N75	12091
NG75	12091
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	860
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.829
Duplication ratio	1.019
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.80
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	17464
Total aligned length	30415
NA50	17464
NGA50	17464
NA75	12091
NGA75	12091
LA50	1
LGA50	1
LA75	2
LGA75	2
