Assembly	transcripts
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31395
Total length (>= 1000 bp)	31395
Total length (>= 5000 bp)	30084
Total length (>= 10000 bp)	21442
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	21442
Total length	31395
Reference length	29903
GC (%)	38.39
Reference GC (%)	37.97
N50	21442
NG50	21442
N75	8642
NG75	8642
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	1311
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.699
Duplication ratio	1.053
# N's per 100 kbp	318.52
# mismatches per 100 kbp	57.02
# indels per 100 kbp	6.71
# genomic features	40 + 9 part
Largest alignment	21318
Total aligned length	31233
NA50	21318
NGA50	21318
NA75	8616
NGA75	8616
LA50	1
LGA50	1
LA75	2
LGA75	2
