Assembly	contigs
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	6257
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	692
Total length	2481
Reference length	29903
GC (%)	35.07
Reference GC (%)	37.97
N50	641
N75	622
L50	2
L75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	622
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	8.297
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	161.23
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	692
Total aligned length	2481
NA50	641
NGA50	-
NA75	544
LA50	2
LA75	3
