Assembly	ERR4238320_scaffolds
# contigs (>= 0 bp)	11
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29919
Total length (>= 1000 bp)	28641
Total length (>= 5000 bp)	11915
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	5984
Total length	29323
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	3790
NG50	3790
N75	3107
NG75	2777
L50	3
LG50	3
L75	5
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.241
Duplication ratio	1.008
# N's per 100 kbp	3.41
# mismatches per 100 kbp	27.51
# indels per 100 kbp	3.44
# genomic features	32 + 17 part
Largest alignment	5984
Total aligned length	29323
NA50	3790
NGA50	3790
NA75	3107
NGA75	2777
LA50	3
LGA50	3
LA75	5
LGA75	6
