Assembly	contigs
# contigs (>= 0 bp)	831
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	115967
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	711
Total length	4044
Reference length	29903
GC (%)	37.61
Reference GC (%)	37.97
N50	558
N75	523
L50	4
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	13.524
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.73
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	711
Total aligned length	4044
NA50	558
NGA50	-
NA75	523
LA50	4
LA75	5
