Assembly	SRR11578126
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29836
Total length (>= 1000 bp)	29836
Total length (>= 5000 bp)	29836
Total length (>= 10000 bp)	22430
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	22430
Total length	29836
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	22430
NG50	22430
N75	22430
NG75	22430
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.719
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.12
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22430
Total aligned length	29836
NA50	22430
NGA50	22430
NA75	22430
NGA75	22430
LA50	1
LGA50	1
LA75	1
LGA75	1
