Assembly	transcripts
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32301
Total length (>= 1000 bp)	32301
Total length (>= 5000 bp)	14105
Total length (>= 10000 bp)	14105
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	14105
Total length	32301
Reference length	29903
GC (%)	38.04
Reference GC (%)	37.97
N50	4869
NG50	4869
N75	2763
NG75	4082
L50	2
LG50	2
L75	4
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.920
Duplication ratio	1.103
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.74
# indels per 100 kbp	3.42
# genomic features	32 + 13 part
Largest alignment	14105
Total aligned length	32169
NA50	4863
NGA50	4863
NA75	2732
NGA75	4082
LA50	2
LGA50	2
LA75	4
LGA75	3
