Assembly	ERR4085119_scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30189
Total length (>= 1000 bp)	29459
Total length (>= 5000 bp)	12521
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	6445
Total length	29459
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	4661
NG50	4661
N75	3470
NG75	3470
L50	3
LG50	3
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.923
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.91
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	6445
Total aligned length	29459
NA50	4661
NGA50	4661
NA75	3470
NGA75	3470
LA50	3
LGA50	3
LA75	5
LGA75	5
