Assembly	ERR4304935.contigs
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30221
Total length (>= 1000 bp)	30221
Total length (>= 5000 bp)	30221
Total length (>= 10000 bp)	30221
Total length (>= 25000 bp)	30221
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	30221
Total length	30221
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	30221
NG50	30221
N75	30221
NG75	30221
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.866
Duplication ratio	1.012
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.44
# indels per 100 kbp	3.35
# genomic features	48 + 1 part
Largest alignment	30062
Total aligned length	30062
NA50	30062
NGA50	30062
NA75	30062
NGA75	30062
LA50	1
LGA50	1
LA75	1
LGA75	1
