Assembly	contigs
# contigs (>= 0 bp)	60
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31891
Total length (>= 1000 bp)	12514
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23
Largest contig	3125
Total length	22516
Reference length	29903
GC (%)	37.17
Reference GC (%)	37.97
N50	1058
NG50	915
N75	828
NG75	505
L50	8
LG50	12
L75	14
LG75	23
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	74.203
Duplication ratio	1.015
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.52
# indels per 100 kbp	0.00
# genomic features	20 + 29 part
Largest alignment	3125
Total aligned length	22512
NA50	1058
NGA50	915
NA75	828
NGA75	505
LA50	8
LGA50	12
LA75	14
LGA75	23
