Assembly	transcripts
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30619
Total length (>= 1000 bp)	30375
Total length (>= 5000 bp)	30375
Total length (>= 10000 bp)	30375
Total length (>= 25000 bp)	30375
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	30375
Total length	30375
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	30375
NG50	30375
N75	30375
NG75	30375
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.866
Duplication ratio	1.017
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.44
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	30337
Total aligned length	30337
NA50	30337
NGA50	30337
NA75	30337
NGA75	30337
LA50	1
LGA50	1
LA75	1
LGA75	1
