Assembly	ERR4329334.contigs
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30123
Total length (>= 1000 bp)	30123
Total length (>= 5000 bp)	27170
Total length (>= 10000 bp)	27170
Total length (>= 25000 bp)	27170
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	27170
Total length	30123
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	27170
NG50	27170
N75	27170
NG75	27170
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.803
Duplication ratio	1.009
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.40
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	27170
Total aligned length	29985
NA50	27170
NGA50	27170
NA75	27170
NGA75	27170
LA50	1
LGA50	1
LA75	1
LGA75	1
