Assembly	contigs
# contigs (>= 0 bp)	54
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25786
Total length (>= 1000 bp)	3547
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	1326
Total length	10788
Reference length	29903
GC (%)	38.28
Reference GC (%)	37.97
N50	696
N75	677
L50	6
L75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	35.164
Duplication ratio	1.026
# N's per 100 kbp	0.00
# mismatches per 100 kbp	38.04
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1308
Total aligned length	10742
NA50	696
NGA50	-
NA75	677
LA50	6
LA75	10
