Assembly	transcripts
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30139
Total length (>= 1000 bp)	30139
Total length (>= 5000 bp)	27408
Total length (>= 10000 bp)	15371
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	15371
Total length	30139
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	15371
NG50	15371
N75	5262
NG75	5262
L50	1
LG50	1
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.783
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.51
# indels per 100 kbp	6.70
# genomic features	40 + 9 part
Largest alignment	15317
Total aligned length	30028
NA50	15317
NGA50	15317
NA75	5262
NGA75	5262
LA50	1
LGA50	1
LA75	3
LGA75	3
