Assembly	transcripts
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36556
Total length (>= 1000 bp)	36556
Total length (>= 5000 bp)	36556
Total length (>= 10000 bp)	23110
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	23110
Total length	36556
Reference length	29903
GC (%)	38.39
Reference GC (%)	37.97
N50	23110
NG50	23110
N75	6732
NG75	23110
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.729
Duplication ratio	1.226
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.89
# indels per 100 kbp	10.06
# genomic features	44 + 5 part
Largest alignment	23110
Total aligned length	36556
NA50	23110
NGA50	23110
NA75	6732
NGA75	23110
LA50	1
LGA50	1
LA75	2
LGA75	1
