Assembly	contigs
# contigs (>= 0 bp)	93
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30822
Total length (>= 1000 bp)	3558
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	1315
Total length	14711
Reference length	29903
GC (%)	37.42
Reference GC (%)	37.97
N50	837
N75	607
L50	8
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	49.022
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.64
# indels per 100 kbp	0.00
# genomic features	8 + 25 part
Largest alignment	1314
Total aligned length	14710
NA50	837
NGA50	-
NA75	607
LA50	8
LA75	13
