Assembly	ERR4329248
# contigs (>= 0 bp)	22
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	13219
Total length (>= 1000 bp)	3931
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	1333
Total length	9864
Reference length	29903
GC (%)	37.90
Reference GC (%)	37.97
N50	918
N75	848
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	30.010
Duplication ratio	1.099
# N's per 100 kbp	0.00
# mismatches per 100 kbp	22.29
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	1333
Total aligned length	9840
NA50	918
NGA50	-
NA75	844
LA50	5
LA75	7
