Assembly	contigs
# contigs (>= 0 bp)	85
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30877
Total length (>= 1000 bp)	4954
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	1416
Total length	12462
Reference length	29903
GC (%)	38.28
Reference GC (%)	37.97
N50	713
N75	589
L50	6
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	41.651
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.09
# indels per 100 kbp	0.00
# genomic features	12 + 29 part
Largest alignment	1416
Total aligned length	12460
NA50	713
NGA50	-
NA75	589
LA50	6
LA75	11
