Assembly	transcripts
# contigs (>= 0 bp)	26
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	47634
Total length (>= 1000 bp)	41458
Total length (>= 5000 bp)	29823
Total length (>= 10000 bp)	29823
Total length (>= 25000 bp)	29823
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	29823
Total length	44380
Reference length	29903
GC (%)	39.89
Reference GC (%)	37.97
N50	29823
NG50	29823
N75	1483
NG75	29823
L50	1
LG50	1
L75	3
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	14 + 0 part
Unaligned length	14547
Genome fraction (%)	99.732
Duplication ratio	1.000
# N's per 100 kbp	22.53
# mismatches per 100 kbp	20.12
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29823
Total aligned length	29823
NA50	29823
NGA50	29823
NGA75	29823
LA50	1
LGA50	1
LGA75	1
