Assembly	SRR11577969
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	44450
Total length (>= 1000 bp)	42813
Total length (>= 5000 bp)	41059
Total length (>= 10000 bp)	26685
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	13343
Total length	44450
Reference length	29903
GC (%)	37.96
Reference GC (%)	37.97
N50	13342
NG50	13342
N75	7832
NG75	13342
L50	2
LG50	2
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.020
Duplication ratio	1.516
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.53
# indels per 100 kbp	3.41
# genomic features	32 + 17 part
Largest alignment	13343
Total aligned length	44431
NA50	13342
NGA50	13342
NA75	7832
NGA75	13342
LA50	2
LGA50	2
LA75	3
LGA75	2
