Assembly	ERR4238596_scaffolds
# contigs (>= 0 bp)	15872
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1607168
Total length (>= 1000 bp)	13763
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	37
Largest contig	2367
Total length	32339
Reference length	29903
GC (%)	49.49
Reference GC (%)	37.97
N50	948
NG50	969
N75	640
NG75	705
L50	13
LG50	12
L75	23
LG75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	34 + 0 part
Unaligned length	30219
Genome fraction (%)	7.090
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	94.34
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	969
Total aligned length	2120
NGA50	-
