Assembly	contigs
# contigs (>= 0 bp)	122
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31319
Total length (>= 1000 bp)	1058
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	1058
Total length	6143
Reference length	29903
GC (%)	38.32
Reference GC (%)	37.97
N50	634
N75	584
L50	4
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	20.540
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	16.28
# genomic features	0 + 21 part
Largest alignment	1058
Total aligned length	6139
NA50	634
NGA50	-
NA75	584
LA50	4
LA75	7
