Assembly	contigs
# contigs (>= 0 bp)	69
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	22857
Total length (>= 1000 bp)	2243
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	1159
Total length	8332
Reference length	29903
GC (%)	38.47
Reference GC (%)	37.97
N50	693
N75	556
L50	5
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	27.776
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	12.04
# indels per 100 kbp	0.00
# genomic features	4 + 21 part
Largest alignment	1137
Total aligned length	8310
NA50	693
NGA50	-
NA75	556
LA50	5
LA75	9
