Assembly	transcripts
# contigs (>= 0 bp)	13
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36388
Total length (>= 1000 bp)	33228
Total length (>= 5000 bp)	20940
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	8158
Total length	35121
Reference length	29903
GC (%)	37.67
Reference GC (%)	37.97
N50	6258
NG50	6258
N75	3419
NG75	3646
L50	3
LG50	3
L75	5
LG75	4
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	8158
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.459
Duplication ratio	1.313
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.86
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	6466
Total aligned length	34909
NA50	4073
NGA50	4085
NA75	3393
NGA75	3585
LA50	4
LGA50	3
LA75	6
LGA75	5
