Assembly	contigs
# contigs (>= 0 bp)	2039
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	496310
Total length (>= 1000 bp)	1302
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	1302
Total length	5919
Reference length	29903
GC (%)	42.39
Reference GC (%)	37.97
N50	601
N75	522
L50	4
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	6 + 0 part
Unaligned length	3371
Genome fraction (%)	8.521
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	117.74
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1302
Total aligned length	2548
NGA50	-
