Assembly	contigs
# contigs (>= 0 bp)	102
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30512
Total length (>= 1000 bp)	1055
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	1055
Total length	7373
Reference length	29903
GC (%)	40.38
Reference GC (%)	37.97
N50	773
N75	623
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	24.643
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	13.57
# genomic features	4 + 17 part
Largest alignment	1055
Total aligned length	7373
NA50	773
NGA50	-
NA75	623
LA50	5
LA75	7
