Assembly	transcripts
# contigs (>= 0 bp)	44
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20468
Total length (>= 1000 bp)	1392
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	1392
Total length	8962
Reference length	29903
GC (%)	50.35
Reference GC (%)	37.97
N50	825
N75	668
L50	5
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	6 + 0 part
Unaligned length	5079
Genome fraction (%)	12.982
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	77.28
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	953
Total aligned length	3882
NGA50	-
