Assembly	contigs
# contigs (>= 0 bp)	223
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	59176
Total length (>= 1000 bp)	7120
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	1550
Total length	15134
Reference length	29903
GC (%)	38.58
Reference GC (%)	37.97
N50	936
NG50	501
N75	640
L50	7
LG50	18
L75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	50.299
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	66.48
# indels per 100 kbp	0.00
# genomic features	16 + 29 part
Largest alignment	1546
Total aligned length	15127
NA50	936
NGA50	501
NA75	640
LA50	7
LGA50	18
LA75	12
