Assembly	contigs
# contigs (>= 0 bp)	234
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	89242
Total length (>= 1000 bp)	11493
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	51
Largest contig	1588
Total length	39161
Reference length	29903
GC (%)	45.54
Reference GC (%)	37.97
N50	748
NG50	883
N75	607
NG75	690
L50	19
LG50	13
L75	33
LG75	23
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	34 + 0 part
Unaligned length	27067
Genome fraction (%)	39.899
Duplication ratio	1.014
# N's per 100 kbp	0.00
# mismatches per 100 kbp	67.05
# indels per 100 kbp	8.38
# genomic features	4 + 21 part
Largest alignment	1371
Total aligned length	12094
NGA50	-
