Assembly	transcripts
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41908
Total length (>= 1000 bp)	40458
Total length (>= 5000 bp)	34756
Total length (>= 10000 bp)	12971
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	12971
Total length	41059
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	9954
NG50	9954
N75	5901
NG75	9954
L50	2
LG50	2
L75	4
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	12971
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.335
Duplication ratio	1.440
# N's per 100 kbp	0.00
# mismatches per 100 kbp	73.66
# indels per 100 kbp	3.51
# genomic features	32 + 17 part
Largest alignment	9953
Total aligned length	40952
NA50	6459
NGA50	6512
NA75	5901
NGA75	6459
LA50	3
LGA50	2
LA75	5
LGA75	3
