Assembly	SRR11578289
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37307
Total length (>= 1000 bp)	37307
Total length (>= 5000 bp)	37307
Total length (>= 10000 bp)	22453
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22453
Total length	37307
Reference length	29903
GC (%)	38.31
Reference GC (%)	37.97
N50	22453
NG50	22453
N75	7427
NG75	22453
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.833
Duplication ratio	1.250
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.20
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22431
Total aligned length	37260
NA50	22431
NGA50	22431
NA75	7422
NGA75	22431
LA50	1
LGA50	1
LA75	2
LGA75	1
