Assembly	ERR4305225_scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30167
Total length (>= 1000 bp)	29699
Total length (>= 5000 bp)	29699
Total length (>= 10000 bp)	29699
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19299
Total length	29699
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	19299
NG50	19299
N75	10400
NG75	10400
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.452
Duplication ratio	1.009
# N's per 100 kbp	508.43
# mismatches per 100 kbp	27.17
# indels per 100 kbp	3.40
# genomic features	36 + 13 part
Largest alignment	19248
Total aligned length	29598
NA50	19248
NGA50	19248
NA75	10350
NGA75	10350
LA50	1
LGA50	1
LA75	2
LGA75	2
