Assembly	ERR4238320_scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29701
Total length (>= 1000 bp)	29565
Total length (>= 5000 bp)	26784
Total length (>= 10000 bp)	19459
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19459
Total length	29565
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	19459
NG50	19459
N75	7325
NG75	7325
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.866
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.44
# indels per 100 kbp	3.38
# genomic features	40 + 9 part
Largest alignment	19459
Total aligned length	29565
NA50	19459
NGA50	19459
NA75	7325
NGA75	7325
LA50	1
LGA50	1
LA75	2
LGA75	2
