Assembly	contigs
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	6359
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	692
Total length	1858
Reference length	29903
GC (%)	35.31
Reference GC (%)	37.97
N50	622
N75	544
L50	2
L75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	622
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	6.213
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	215.29
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	692
Total aligned length	1858
NA50	544
NGA50	-
NA75	544
LA50	2
LA75	3
