Assembly	ERR4329248_scaffolds
# contigs (>= 0 bp)	405
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	40563
Total length (>= 1000 bp)	3533
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	17
Largest contig	1356
Total length	13762
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	881
N75	653
L50	7
L75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	46.005
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	7.27
# indels per 100 kbp	7.27
# genomic features	4 + 21 part
Largest alignment	1356
Total aligned length	13762
NA50	881
NGA50	-
NA75	653
LA50	7
LA75	12
