Assembly	ERR4305021.contigs
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30504
Total length (>= 1000 bp)	30504
Total length (>= 5000 bp)	27148
Total length (>= 10000 bp)	27148
Total length (>= 25000 bp)	27148
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	27148
Total length	30504
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	27148
NG50	27148
N75	27148
NG75	27148
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	3356
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.893
Duplication ratio	1.021
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.39
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	27148
Total aligned length	30496
NA50	27148
NGA50	27148
NA75	27148
NGA75	27148
LA50	1
LGA50	1
LA75	1
LGA75	1
