Assembly	transcripts
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29442
Total length (>= 1000 bp)	26993
Total length (>= 5000 bp)	24422
Total length (>= 10000 bp)	15439
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	15439
Total length	29174
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	15439
NG50	15439
N75	8983
NG75	8983
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.351
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.48
# indels per 100 kbp	10.31
# genomic features	36 + 13 part
Largest alignment	15439
Total aligned length	29106
NA50	15439
NGA50	15439
NA75	8930
NGA75	8930
LA50	1
LGA50	1
LA75	2
LGA75	2
