Assembly	contigs
# contigs (>= 0 bp)	4650
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	318688
Total length (>= 1000 bp)	2428
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	1307
Total length	10975
Reference length	29903
GC (%)	43.52
Reference GC (%)	37.97
N50	621
N75	574
L50	7
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	9 + 0 part
Unaligned length	5981
Genome fraction (%)	16.684
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.04
# indels per 100 kbp	0.00
# genomic features	0 + 21 part
Largest alignment	1307
Total aligned length	4989
NGA50	-
