Assembly	ERR4085147_scaffolds
# contigs (>= 0 bp)	71
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35490
Total length (>= 1000 bp)	6030
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	24
Largest contig	1292
Total length	19880
Reference length	29903
GC (%)	37.63
Reference GC (%)	37.97
N50	724
NG50	687
N75	687
L50	10
LG50	17
L75	17
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	62.412
Duplication ratio	1.065
# N's per 100 kbp	0.00
# mismatches per 100 kbp	10.72
# indels per 100 kbp	0.00
# genomic features	12 + 21 part
Largest alignment	1292
Total aligned length	19880
NA50	724
NGA50	687
NA75	687
LA50	10
LGA50	17
LA75	17
