Assembly	contigs
# contigs (>= 0 bp)	131
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	36544
Total length (>= 1000 bp)	1008
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	1008
Total length	8113
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	781
N75	641
L50	5
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	27.128
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.98
# indels per 100 kbp	36.98
# genomic features	0 + 21 part
Largest alignment	1008
Total aligned length	8113
NA50	781
NGA50	-
NA75	641
LA50	5
LA75	8
