Assembly	ERR4085147_scaffolds
# contigs (>= 0 bp)	77
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35882
Total length (>= 1000 bp)	25131
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	4362
Total length	28890
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	2795
NG50	2315
N75	1492
NG75	1492
L50	4
LG50	5
L75	8
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.633
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.98
# indels per 100 kbp	3.50
# genomic features	28 + 21 part
Largest alignment	4362
Total aligned length	28890
NA50	2795
NGA50	2315
NA75	1492
NGA75	1492
LA50	4
LGA50	5
LA75	8
LGA75	8
