Assembly	transcripts
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	42872
Total length (>= 1000 bp)	41895
Total length (>= 5000 bp)	41895
Total length (>= 10000 bp)	29939
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	15384
Total length	41895
Reference length	29903
GC (%)	38.20
Reference GC (%)	37.97
N50	14555
NG50	15384
N75	6144
NG75	14555
L50	2
LG50	1
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.773
Duplication ratio	1.404
# N's per 100 kbp	0.00
# mismatches per 100 kbp	70.39
# indels per 100 kbp	13.41
# genomic features	44 + 5 part
Largest alignment	15320
Total aligned length	41679
NA50	14555
NGA50	15320
NA75	6078
NGA75	14555
LA50	2
LGA50	1
LA75	3
LGA75	2
