Assembly	ERR4329229_scaffolds
# contigs (>= 0 bp)	94
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25365
Total length (>= 1000 bp)	7959
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	2596
Total length	12497
Reference length	29903
GC (%)	39.29
Reference GC (%)	37.97
N50	1164
N75	708
L50	4
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	41.283
Duplication ratio	1.012
# N's per 100 kbp	1544.37
# mismatches per 100 kbp	56.70
# indels per 100 kbp	0.00
# genomic features	16 + 21 part
Largest alignment	2444
Total aligned length	12345
NA50	1164
NGA50	-
NA75	705
LA50	4
LA75	8
