Assembly	SRR11728611.contigs
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31788
Total length (>= 1000 bp)	30215
Total length (>= 5000 bp)	30215
Total length (>= 10000 bp)	30215
Total length (>= 25000 bp)	30215
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	30215
Total length	30215
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	30215
NG50	30215
N75	30215
NG75	30215
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.796
Duplication ratio	1.012
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.46
# indels per 100 kbp	3.35
# genomic features	48 + 1 part
Largest alignment	29905
Total aligned length	29905
NA50	29905
NGA50	29905
NA75	29905
NGA75	29905
LA50	1
LGA50	1
LA75	1
LGA75	1
